,fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,Begin_Date,End_Date,Disaster_Period_Days,designated_area,id
46513,FM-5161-NC,5161,NC,Fire Management,2017,Fire,Party Rock Fire,NO,NO,YES,YES,2016-11-11T05:01:00Z,2016-11-30T04:59:00Z,11/11/16,11/30/16,19,Buncombe (County),5d1bcedcd5b39c032f26c66a
46516,FM-5162-SC,5162,SC,Fire Management,2017,Fire,Pinnacle Mountain Fire,NO,NO,YES,YES,2016-11-12T16:00:01Z,2016-12-21T04:59:00Z,11/12/16,12/21/16,39,Greenville (County),5d1bcedcd5b39c032f26c66b
46518,FM-5163-GA,5163,GA,Fire Management,2017,Fire,Tatum Gulf Fire,NO,NO,YES,YES,2016-11-13T05:01:00Z,2016-12-03T04:59:00Z,11/13/16,12/3/16,20,Dade (County),5d1bcedcd5b39c032f26c6ad
46519,FM-5164-NC,5164,NC,Fire Management,2017,Fire,Chestnut Knob Fire,NO,NO,YES,YES,2016-11-19T05:00:00Z,2016-12-05T04:59:00Z,11/19/16,12/5/16,16,Burke (County),5d1bcedcd5b39c032f26c679
46520,FM-5165-TN,5165,TN,Fire Management,2017,Fire,East Miller Cove Fire,NO,NO,YES,YES,2016-11-17T05:00:00Z,2016-12-04T04:59:00Z,11/17/16,12/4/16,17,Blount (County),5d1bcedcd5b39c032f26c685
46521,FM-5166-KY,5166,KY,Fire Management,2017,Fire,Southeastern Kentucky Fire Complex,NO,NO,YES,YES,2016-11-18T05:00:00Z,2016-11-23T04:59:00Z,11/18/16,11/23/16,5,Harlan (County),5d1bcedcd5b39c032f26c671
46525,FM-5167-TN,5167,TN,Fire Management,2017,Fire,Chimney Top Fire,NO,NO,YES,YES,2016-11-28T05:00:01Z,2016-12-10T04:59:00Z,11/28/16,12/10/16,12,Sevier (County),5d1bcedcd5b39c032f26c681
46526,DR-4292-PA,4292,PA,Major Disaster,2017,Flood,Severe Storms And Flooding,NO,NO,YES,YES,2016-10-20T04:00:00Z,2016-10-21T18:27:00Z,10/20/16,10/21/16,2,Lycoming (County),5d1bcedad5b39c032f26bb40
46530,DR-4293-TN,4293,TN,Major Disaster,2017,Fire,Wildfires,YES,NO,YES,YES,2016-11-28T05:01:00Z,2016-12-09T05:01:00Z,11/28/16,12/9/16,11,Sevier (County),5d1bcedad5b39c032f26bc96
46531,DR-4296-OR,4296,OR,Major Disaster,2017,Severe Storm(s),Severe Winter Storm And Flooding,NO,NO,YES,YES,2016-12-14T05:01:15Z,2016-12-18T04:59:00Z,12/14/16,12/18/16,4,Lane (County),5d1bcedad5b39c032f26babf
46533,DR-4294-GA,4294,GA,Major Disaster,2017,Severe Storm(s),"Severe Storms, Tornadoes, And Straight-Line Winds",NO,NO,YES,YES,2017-01-02T05:00:00Z,2017-01-03T04:59:00Z,1/2/17,1/3/17,1,Calhoun (County),5d1bcedad5b39c032f26ba91
46540,DR-4295-MS,4295,MS,Major Disaster,2017,Tornado,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",YES,NO,NO,YES,2017-01-20T05:00:00Z,2017-01-21T05:00:00Z,1/20/17,1/21/17,1,Lauderdale (County),5d1bcedad5b39c032f26bb3a
46544,DR-4297-GA,4297,GA,Major Disaster,2017,Tornado,"Severe Storms, Tornadoes, Straight-Line Winds, And Flooding",NO,NO,YES,YES,2017-01-21T05:00:00Z,2017-01-23T04:59:00Z,1/21/17,1/23/17,2,Upson (County),5d1bcedad5b39c032f26baeb
46567,DR-4298-SD,4298,SD,Major Disaster,2017,Severe Storm(s),Severe Winter Storm,NO,NO,YES,YES,2016-12-24T05:00:00Z,2016-12-27T04:59:00Z,12/24/16,12/27/16,3,Meade (County),5d1bcedad5b39c032f26bb5a
46594,DR-4299-OK,4299,OK,Major Disaster,2017,Severe Storm(s),Severe Winter Storm,NO,NO,YES,YES,2017-01-13T13:00:00Z,2017-01-16T15:54:00Z,1/13/17,1/16/17,3,Woods (County),5d1bcedad5b39c032f26bb86
46605,DR-4300-LA,4300,LA,Major Disaster,2017,Tornado,"Severe Storms, Tornadoes, And Straight-Line Winds",YES,NO,NO,YES,2017-02-07T05:01:00Z,2017-02-08T04:59:00Z,2/7/17,2/8/17,1,Orleans (Parish),5d1bcedad5b39c032f26bb46
46607,FM-2859-UT,2859,UT,Fire Management,2010,Fire,Machine Gun Fire,NO,NO,YES,NO,2010-09-19T22:30:00Z,,9/19/10,#VALUE!,#VALUE!,Salt Lake (County),5d1bcec6d5b39c032f26793b
46608,DR-4301-CA,4301,CA,Major Disaster,2017,Severe Storm(s),"Severe Winter Storms, Flooding, And Mudslides",NO,NO,YES,YES,2017-01-03T05:00:00Z,2017-01-13T04:59:00Z,1/3/17,1/13/17,10,Sierra (County),5d1bcedad5b39c032f26ba92
46642,EM-3381-CA,3381,CA,Emergency Management,2017,Dam/Levee Break,Potential Failure Of The Emergency Spillway At Oroville Lake,NO,NO,YES,NO,2017-02-07T23:14:00Z,2017-02-24T04:59:00Z,2/7/17,2/24/17,16,Butte (County),5d1bced5d5b39c032f26a6f0
